enthrallments	enthrall @@ment @@s
ommatids	ommatid @@s
metadirectories	meta @@directory @@s
periblastic	peri @@blast @@ic
malacophyllous	malaco @@phyllous
enscarfing	en @@scarf @@ing
microlance	micro @@lance
idiotly	idiot @@ly
metacentric	meta @@centric
tutoy	tutoy
kilowatt	kilo @@watt
environmentabilities	environ @@ment @@ability @@s
aspiculate	aspiculate
microgametocyte	micro @@gameto @@cyte
jewelweed	jewel @@weed
hostaged	hostage @@ed
chickless	chick @@less
biobankers	bio @@bank @@er @@s
analog	analog
marmots	marmot @@s
paraglobulin	paraglobulin
questmonger	quest @@monger
swiftered	swift @@er @@ed
Ripuarians	Ripuarian @@s
nonworkshop	non @@work @@shop
vampette	vamp @@ette
antisubsidy	anti @@subside @@y
abenteric	abenteric
megacapillary	mega @@capillary
Rotarian	Rotar @@ian
postrooms	post @@room @@s
colocalising	co @@local @@ise @@ing
heatshield	heat @@shield
dynamotors	dynamotor @@s
bidirectionalities	bi @@direct @@ion @@al @@ity @@s
capellines	capelline @@s
Trumpophilia	Trump @@o @@philia
webcam	web @@cam
anteroflexes	antero @@flex @@s
hilding	hild @@ing
bougiest	bouge @@y @@est
imperceptible	imperceptible
poltroons	poltroon @@s
iatrophysics	iatro @@physic @@s
defrayed	defray @@ed
necrophile	necro @@phile
warlock	war @@lock
stereomicroscopic	stereo @@microscope @@ic
ridgelets	ridge @@let @@s
subchorionitis	sub @@chorion @@itis
hypotheca	hypo @@theca
myofascia	myo @@fascia
vinousness	vinous @@ness
illwishers	ill @@wish @@er @@s
turnscrew	turn @@screw
multicovariate	multi @@co @@vary @@ate
Burtonport	Burtonport
Bednarczyk	Bednarczyk
convulsants	convulsant @@s
dunescapes	dune @@scape @@s
somnogenic	somno @@genic
Danvers	Danvers
pouch	pouch
Jediist	Jedi @@ist
videocentric	video @@centric
noncholestatic	non @@cholestasis @@ic
overseeress	over @@seer @@ess
dungstead	dung @@stead
hexachordal	hexa @@chord @@al
neuropsychosis	neuro @@psycho @@osis
OMZs	OMZ @@s
kneeboarders	kneeboard @@er @@s
readdress	readdress
myzostomids	myzostomid @@s
Adriatic	Adrias @@ic
jedged	jedge @@ed
quellings	quelling @@s
ostreophages	ostreo @@phage @@s
overcatches	over @@catch @@s
lipsalves	lipsalve @@s
queenes	queene @@s
suboptimal	sub @@optimal
whingers	whinger @@s
talavs	talav @@s
Fennoscandia	Fennoscandia
bifoliolate	bi @@foliolic @@ate
mimp	mimp
tagholders	tag @@hold @@er @@s
clickless	click @@less
celebrates	celebrate @@s
toroviruses	torovirus @@s
microgenomic	micro @@gene @@ome @@ic
stares	stare @@s
subphases	sub @@phase @@s
sideromelanes	sideromelane @@s
hefeweizens	hefeweizen @@s
racemizes	raceme @@ize @@s
endoparasitoses	endo @@parasite @@ose @@s
hexacarbonyls	hexa @@carbon @@yl @@s
subtechnology	sub @@techno @@logy
hedes	hede @@s
nudgeable	nudge @@able
Caifung	Caifung
riposting	ripost @@ing
kirbeh	kirbeh
neuropathobiology	neuro @@patho @@biology
homogenised	homogenise @@ed
megohms	megohm @@s
counterargumentative	counter @@argue @@ment @@ative
Berwickshire	Berwick @@shire
Poindexter	Poindexter
exhumer	exhume @@er
unfecundated	un @@fecundate @@ed
precertified	pre @@certify @@ed
omas	oma @@s
phytotoxicities	phyto @@toxic @@ity @@s
assizors	assizor @@s
achlorophyllous	achloro @@phyllous
unpureed	un @@pure @@ed
pharyngotracheal	pharyngo @@trachea @@al
boondoggle	boondoggle
homodimerised	homodimerise @@ed
selenosulfides	seleno @@sulfide @@s
superassemblies	super @@assemble @@y @@s
THMs	THM @@s
forworthing	for @@worth @@ing
aflat	a @@flat
antiphones	antiphone @@s
shranks	shrank @@s
Stammbaum	Stammbaum
monohex	mono @@hex
shigrams	shigram @@s
Tomlins	Tomlins
crossbreeders	cross @@breed @@er @@s
indeterminations	in @@determine @@ation @@s
winsomeness	wine @@some @@ness
crias	crias
jettying	jet @@y @@ing
glimpsable	glimpse @@able
bridler	braid @@le @@er
concurrence	concur @@ence
pyrogeometers	pyro @@geometer @@s
guayabos	guayabo @@s
bemoil	be @@moil
decolourised	decolourise @@ed
salchows	salchow @@s
electrolyte	electro @@lyte
correctress	correct @@or @@ess
furlike	fur @@like
racialize	race @@ial @@ize
dacoitage	dacoitage
wealthies	weal @@th @@y @@s
embittered	en @@bite @@er @@ed
Carthaginians	Carthaginian @@s
Takamatsu	Takamatsu
bicortical	bi @@cortical
disintermediate	dis @@intermediate
stepparenthood	step @@arent @@hood
hyperphosphatemic	hyper @@phosphate @@eme @@ic
disjointing	dis @@join @@t @@ing
Dinh	Dinh
Lucilla	Lucilla
cavilations	cavilation @@s
leafscrapers	leaf @@scrape @@er @@s
cobblerfishes	cob @@le @@er @@fish @@s
proanthocyanidin	pro @@antho @@cyanidin
volvulates	volvulate @@s
lightbars	light @@bar @@s
gamomanias	gamomania @@s
wadlopen	wadlopen
macule	macule
Australasian	Australasian
begayed	be @@gay @@ed
luliconazole	luliconazole
altercated	altercate @@ed
filoselle	filoselle
wormuls	wormul @@s
litterateur	litterateur
protractedness	protract @@ed @@ness
healthscape	health @@scape
agrobiologic	agro @@biology @@ic
stewer	stew @@er
milewide	mile @@wide
rebottle	re @@bottle
labeonines	labeonine @@s
microagglutinations	micro @@agglutinate @@ion @@s
Voltaireans	Voltaire @@an @@s
Qiqihar	Qiqihar
denails	de @@nail @@s
prieves	prieve @@s
reaccounts	re @@account @@s
pathocentric	patho @@centric
surgent	surgent
pornosexual	porno @@sex @@ual
alete	alete
serpenticide	serpent @@cide
wiregrass	wire @@grass
prolificalness	prolific @@al @@ness
Magan	Magan
Colin	Colin
anticolorectal	anti @@colo @@rectum @@al
thizzing	thiz @@ing
whelp	whelp
polioviruses	poliovirus @@s
nontriumph	non @@triumph
amphoriscids	amphoriscid @@s
reclasped	re @@clasp @@ed
hemovores	hemo @@vore @@s
retears	re @@tear @@s
corroborative	corroborate @@ive
flokati	flokati
Moyu	Moyu
cospeciate	co @@speciate
crabbedly	crab @@ed @@ly
flaunchings	flaunching @@s
lovability	love @@ability
Roma	Roma
precleaning	pre @@clean @@ing
mechanoreciprocity	mechano @@reciprocity
Leomania	Leomania
fley	fley
unbalanceable	un @@balance @@able
h8ing	h8 @@ing
ineptness	inept @@ness
manifested	manifest @@ed
gesturality	gesture @@al @@ity
quayages	quay @@age @@s
CHON	CHON
percolator	percolate @@or
thelium	thelium
proliferously	proliferous @@ly
ablings	abling @@s
israelane	israelane
refigurate	re @@figurate
disinfest	dis @@in @@fest
choleroid	cholero @@oid
oversocialization	over @@social @@ization
magnitizdat	magnite @@izat
counterraids	counter @@raid @@s
capitularly	capitular @@ly
uptowner	up @@town @@er
lincrustas	lincrusta @@s
nonburrowing	non @@burrow @@ing
aphetizes	aphetize @@s
dichromatic	di @@chroma @@atic
flamboyance	flamboy @@ance
transelements	trans @@element @@s
heliophytic	helio @@phyte @@ic
secondman	second @@man
assholedom	asshole @@dom
pretravel	pre @@travel
beltwork	belt @@work
Googlephone	Google @@phone
unhopped	un @@hop @@ed
periodicity	period @@ic @@ity
romalls	romall @@s
concomitant	concomitant
bunnians	bunnian @@s
candymaker	candy @@make @@er
belikes	be @@like @@s
noshing	nosh @@ing
divergently	divergent @@ly
Antonescu	Antonescu
sacrals	sacrum @@al @@s
tweedlike	tweed @@like
flowsheets	flow @@sheet @@s
rivages	rivage @@s
scarfskin	scarf @@skin
morphopopulation	morpho @@populate @@ion
ecoacoustics	eco @@acoustic @@s
hairyfish	hair @@y @@fish
rebelliously	rebellious @@ly
pentaphyllon	penta @@phyllo @@on
equals	equal @@s
hydroiodic	hydro @@iodine @@ic
arousingness	arouse @@ing @@ness
badniks	badnik @@s
mesocarnivores	meso @@carnivore @@s
alkalinizers	alkaline @@ize @@er @@s
nonsmart	non @@smart
ingeminations	ingemination @@s
cutscenes	cut @@scene @@s
McCavish	McCave @@ish
microspherical	micro @@sphere @@ical
centrosomally	centrosome @@al @@ly
underkimono	under @@kimono
macrosystem	macro @@system
imbuer	imbue @@er
earth-tilth	earth @@till @@th
durocs	duroc @@s
driftily	drift @@y @@ly
gallein	gallein
cysteinal	cysteine @@al
Para-Romani	Para @@Romani
fluffiness	fluff @@y @@ness
upgushing	up @@gush @@ing
refloor	re @@floor
payadors	payador @@s
radiaries	radiary @@s
managerialize	manage @@er @@ial @@ize
pterygotes	pterygote @@s
seetheth	seeth @@eth
anagrammist	ana @@gram @@ist
landreeves	land @@reeve @@s
serosities	serosity @@s
instillment	instill @@ment
convincing	convince @@ing
ossicone	ossi @@cone
takkie	takkie
interwikied	inter @@wiki @@ed
galvanoscope	galvano @@scope
slinging	sling @@ing
raunchfest	raunch @@fest
overdoneness	over @@done @@ness
aluminocopiapites	aluminocopiapite @@s
ineffectively	in @@effect @@ive @@ly
hondel	hondel
polymorphs	polymorph @@s
taxidermies	taxi @@dermy @@s
cyberpunk	cyber @@punk
performaunces	performaunce @@s
laxes	lax @@s
haloquinoline	halo @@quinoline
marmalizes	marmal @@ize @@s
teacart	tea @@cart
scurrilities	scurrility @@s
synonymless	syn @@onym @@less
aghastness	aghast @@ness
necrectomy	necro @@ectomy
fleeceless	fleece @@less
squawfishes	squaw @@fish @@s
outhumored	out @@humor @@ed
convocation	convoke @@ation
fumming	fum @@ing
kreasoting	kreasot @@ing
propagandises	propagandise @@s
successless	success @@less
ultraism	ultra @@ism
autochthonous	autochthonous
indelved	indelve @@ed
Nemausus	Nemausus
broilings	broiling @@s
cytosis	cyto @@osis
transcerebellar	transcerebellum @@ar
blood-cell	blood @@cell
imbreeding	imbreed @@ing
easterners	east @@ern @@er @@s
scarn	scarn
relinquishment	relinquish @@ment
Freeling	Freeling
savableness	savable @@ness
omnipotently	omnipotent @@ly
anaritide	anario @@itis @@ide
anticked	antick @@ed
courtsiding	court @@side @@ing
navbar	navbar
casemate	case @@mate
coliphages	coliphage @@s
yeorlings	yeor @@ling @@s
landlady	land @@lady
indignation	indign @@ation
shadkhans	shadkhan @@s
dyserythropoiesis	dysery @@thropoiesis
aralia	aralia
illiterature	in @@literature
yukkier	yuk @@y @@er
super-terre	super @@terre
Thahiris	Thahiri @@s
compartmentalizing	compartment @@al @@ize @@ing
ragi	ragi
laryngotracheoesophageal	laryngo @@tracheo @@esophageal
coralligerous	coralligerous
unballoted	un @@ballot @@ed
megaseisms	mega @@seism @@s
hardhearted	hard @@heart @@ed
lever	lief @@er
snuzzling	snuzzle @@ing
sexciting	sexcite @@ing
sowgelders	sow @@geld @@er @@s
connectional	connect @@ion @@al
unmistakableness	un @@mistake @@able @@ness
tetramannoside	tetra @@mannoside
poundable	pound @@able
whyness	why @@ness
solenostomids	solenostomid @@s
kipping	kip @@ing
status quoism	status quoism
colstaff	colstaff
supersecular	super @@secular
wide-body	wide @@body
hemimegalencephalies	hemi @@megalencephaly @@s
cooja	coola
aquagym	aquagym
isoplethic	isoplethic
nucleotidases	nucleo @@ide @@ase @@s
beotches	beotch @@s
disestablished	dis @@establish @@ed
fuggiest	fug @@y @@est
respiratorily	respire @@atory @@ly
schmutzy	schmutz @@y
Zimbabwean	Zimbabwe @@an
restipulate	re @@stipulate
Fayette	Fayette
keratinic	keratin @@ic
fluorimetries	fluorimetry @@s
nanocalorimeters	nano @@calorimeter @@s
shushes	shush @@s
Loyce	Loyce
hypoelasticity	hypo @@elastic @@ity
multimedium	multi @@medium
podosomal	podo @@some @@al
morphogeometric	morpho @@geometric
colewort	cole @@wort
McGuirl	McGuirl
tricaudate	tri @@caudate
zoites	zoite @@s
blubbing	blub @@ing
homogay	homo @@gay
lesses	less @@s
normoglucotolerant	normo @@glucotolerant
clickos	click @@o @@s
apprizals	apprize @@al @@s
thyroidectomizing	thyroid @@ectomy @@ize @@ing
Foucauldianism	Foucauld @@ian @@ism
biblicists	biblicist @@s
Zambrano	Zambrano
cryokinetics	cryo @@kinetic @@s
homœoplasties	homœoplasty @@s
polyglucosides	poly @@glucose @@ide @@s
severeth	sever @@eth
mimosoids	mimosoid @@s
nonstimulative	non @@stimulate @@ive
belongeth	be @@long @@eth
Gosewehr	Gosewehr
refocus	re @@focus
vergeth	verge @@eth
hackeems	hackeem @@s
Románico	Románico
barmed	barm @@ed
isopyknotic	isopyknosis @@ic
necrotoxigenic	necro @@toxi @@genic
geofluidic	geo @@fluid @@ic
uncrosslinked	un @@cross @@link @@ed
groids	groid @@s
neurobehavioural	neuro @@behaviour @@al
hecatarchies	hecatarchy @@s
azoarenes	azoarene @@s
resales	re @@sale @@s
pangenotypical	pan @@geno @@type @@ical
quadrijugal	quadri @@jugal
antiretaliatory	anti @@retaliate @@ory
Biggleswade	Biggleswade
fisaviruses	fisavirus @@s
faience	faience
unconstructs	un @@construct @@s
lehendakaris	lehendakari @@s
nonpremiere	non @@premiere
cyclopaedias	cyclopaedia @@s
selegiline	selegiline
creakest	creak @@est
triplegia	triplegia
Addey	Addey
bronzed	bronze @@ed
burlaks	burlak @@s
stomatodes	stomatode @@s
sociomaterialities	socio @@material @@ity @@s
indigenizing	indigene @@ize @@ing
anticontra	anti @@contra
endophagosomes	endo @@phago @@some @@s
cardiotocographically	cardio @@tocography @@ic @@ally
dweomercraft	dweomer @@craft
Buhr	Buhr
substruction	substruct @@ion
margo	margo
exorciser	exorcise @@er
hydroxyprocaine	hydroxy @@procaine
designership	design @@er @@ship
andromorphous	andro @@morphous
overtoiling	over @@toil @@ing
insurrectionary	insurrect @@ion @@ary
intermorainal	inter @@morain @@al
sillyfics	seel @@y @@fic @@s
auscultates	auscultate @@s
provable	prove @@able
Vietnamizing	Vietnam @@ize @@ing
bonability	bone @@ability
low-paid	low @@paid
colposcopy	colpo @@scopy
tumultuated	tumultuate @@ed
ant-hill	ant @@hill
nonairport	non @@air @@port
kangooroos	kangooroo @@s
Funningsfjørður	Funiningsfjèrur
iconless	icon @@less
violars	violar @@s
wintling	wintle @@ing
imperation	imperate @@ion
pelfries	pelfry @@s
interlinguas	interlingua @@s
dap	dap
serialized	series @@al @@ize @@ed
tubulin	tubulin
imans	iman @@s
mashwas	mashwa @@s
chlorapatite	chlorapatite
cantabank	canta @@bank
threadfishes	thread @@fish @@s
blossoms	blossom @@s
snuffees	snuffee @@s
pancerebellar	pancerebellum @@ar
reaccusations	re @@accuse @@ation @@s
cremate	cremate
cookieholics	cook @@ie @@holic @@s
xenates	xenon @@ate @@s
Ometepec	Ometepec
testifiee	testify @@ee
ghosts	ghost @@s
sluthering	sluther @@ing
clumps	clump @@s
unplants	un @@plant @@s
pretoddlers	pre @@todle @@er @@s
paleolimnologists	paleo @@limno @@logy @@ist @@s
uninventableness	un @@invent @@able @@ness
diparalogous	di @@paral @@ogous
Wahhabization	Wahhabi @@ization
shunpikers	shunpiker @@s
zoologist	zoo @@logy @@ist
syllabificates	syllabificate @@s
heavenless	heaven @@less
crisp	crisp
pipejacking	pipe @@jack @@ing
data-bound	datum @@boun @@d
gem	gem
degraders	degrade @@er @@s
cheapos	cheap @@o @@s
plasmodiocarp	plasmodio @@carp
envies	envy @@s
abuttings	abutting @@s
multigestational	multi @@gestate @@ion @@al
whimsying	whim @@y @@ing
deambulatory	deambulate @@ory
blowbacks	blow @@back @@s
narezushi	narezushi
hyalophane	hyalo @@phane
Tyrrhenian	Tyrrhen @@ian
preterites	preterite @@s
xanthochroid	xantho @@chroid
translanguages	trans @@language @@s
nonmammal	non @@mamma @@al
universal	universe @@al
hydrosoils	hydro @@soil @@s
cordopexy	cordo @@pexy
upgive	up @@give
heiressdom	heir @@ess @@dom
Phelan	Phelan
permixing	per @@mix @@ing
disjected	disject @@ed
polyinnervations	poly @@in @@nerve @@ation @@s
spectinamides	spectinamide @@s
tormentries	torment @@ry @@s
Hellerwork	Hellerwork
technoids	technoid @@s
phloems	phloem @@s
brawlingly	brawl @@ing @@ly
gastroelytrotomy	gastro @@elytro @@tomy
Shebans	Sheban @@s
xenium	xenium
atristing	a @@trist @@ing
chicaneries	chicanery @@s
halophosphine	halo @@phosph @@ine
autosolitons	auto @@solitary @@on @@s
unraping	un @@rape @@ing
nonheritable	non @@herit @@able
unredeem	un @@redeem
southered	south @@er @@ed
antiwarriors	anti @@warrior @@s
Voltairism	Voltair @@ism
unhingingly	un @@hing @@ing @@ly
permeabilizing	permeate @@abilize @@ing
decriminalise	de @@crime @@al @@ise
Lika	Lika
absquatulation	absquatulation
harems	harem @@s
bypath	by @@path
seismometre	seismo @@metre
mealy	meal @@y
feminoid	feminoid
subswitch	sub @@switch
perfunctory	perfunctory
fetoscopes	feto @@scope @@s
dakimakura	dakimakura
amylasic	amylasia @@ic
proximates	proximate @@s
Bountygate	bounty @@gate
fighteress	fight @@er @@ess
downfaced	down @@face @@ed
coalitioner	coalition @@er
reopposes	re @@oppose @@s
adheres	adhere @@s
subfractionates	sub @@fraction @@ate @@s
nonclayey	non @@clay @@ey
ekanites	ekanite @@s
rotavaping	rotavap @@ing
amorality	a @@moral @@ity
bosonize	boson @@ize
sculd	sculd
ICQs	ICC @@s
scomfit	scom @@fit
micropredatory	micro @@predate @@ory
floodless	flood @@less
gonfalonier	gonfalonier
scaletails	scale @@tail @@s
nontrunk	non @@trunk
Pegasus	Pegasus
alloclasite	alloclasite
besooted	be @@soot @@ed
McAteer	McAteer
surplussing	surpluss @@ing
surrenderable	surrender @@able
outfinished	out @@finish @@ed
nonneddylated	non @@eddylate @@ed
pyramidalize	pyramid @@al @@ize
quinined	quinine @@ed
beviles	bevile @@s
subtreasurers	sub @@treasure @@er @@s
gelatinisations	gelatin @@isation @@s
overplaced	over @@place @@ed
housos	houso @@s
vilesome	vile @@some
Paraguayan	Paraguay @@an
nondistinguishing	non @@distinguish @@ing
rectosacral	recto @@sacrum @@al
relists	relist @@s
rhinoscopic	rhino @@scopy @@ic
equip	equip
Landtag	Landtag
cannabis	cannabi @@s
pantheologies	pan @@theo @@logy @@s
ixoderins	ixoderin @@s
scattier	scat @@y @@er
creakingly	creak @@ing @@ly
noncreationists	non @@create @@ion @@ist @@s
thylacine	thylacine
coupists	coup @@ist @@s
impactfulness	impact @@ful @@ness
unreclaimably	un @@reclaim @@able @@ly
connings	conning @@s
detecters	detect @@er @@s
creatress	creat @@or @@ess
matranees	matrane @@ee @@s
lucumas	lucuma @@s
restates	re @@state @@s
apartheidness	apartheid @@ness
houghs	hough @@s
geodal	geodal
Avenzoar	Avenzoar
concessional	concess @@ion @@al
ornamentary	ornament @@ary
rozz	rozz
carriwitchets	carriwitchet @@s
Salesians	Sales @@ian @@s
Inclan	Inclan
resisted	resist @@ed
inordering	in @@order @@ing
xyrophilic	xyro @@philic
foodstyles	food @@style @@s
corresponsively	corresponse @@ive @@ly
contrarywise	contrary @@wise
calembours	calembour @@s
lovemaking	love @@make @@ing
nocument	nocument
csardases	csard @@ase @@s
inshore	in @@shore
onbeats	on @@beat @@s
Tiffani	Tiffani
nonisostericity	non @@isosteric @@ity
smoothie	smooth @@ie
imploys	imploy @@s
crossveinless	cross @@vein @@less
divert	divert
pseudofermionic	pseudo @@fermi @@on @@ic
dural	dural
glycogenolytic	glyco @@geno @@lytic
dzongpens	dzongpen @@s
biuniqueness	bi @@unique @@ness
palstaff	palstaff
Nunavimmiut	Nunavimmiut
ridgeline	ridge @@line
mutsuddies	mutsuddy @@s
crustiest	crust @@y @@est
polkamania	polkamania
linebackers	linebacker @@s
usward	usward
ætiologies	ætiology @@s
photolithographs	photo @@lithograph @@s
sulphided	sulphide @@ed
photovisual	photo @@vision @@ual
cubemate	cube @@mate
buttfucked	butt @@fuck @@ed
matsuri	matsuri
tosylation	tosyl @@ation
Burtonizing	Burton @@ize @@ing
ophidiophobic	ophidio @@phobia @@ic
glycobiogenesis	glyco @@bio @@genesis
porters	port @@er @@s
Birminghamises	Birmingham @@ise @@s
gymnocarpous	gymno @@carpous
matronal	matron @@al
submessage	sub @@message
bowgrace	bow @@grace
Hathoric	Hathor @@ic
nonfriend	non @@friend
thrilly	thrill @@y
Charlotte	Charlotte
Hibernicized	Hibernic @@ize @@ed
nemetic	nemesis @@ic
transanimation	trans @@animate @@ion
BCTs	BCCT @@s
nonbonding	non @@bond @@ing
wallhacker	wall @@hack @@er
tsaricides	tsar @@cide @@s
unrobed	un @@robed
transrates	trans @@rate @@s
politicianlike	politic @@ian @@like
parasitize	parasite @@ize
pippie	pip @@ie
adenophyllous	adeno @@phyllous
weekended	weekend @@ed
economism	economic @@y @@ism
moidered	moider @@ed
entheat	ent @@heat
principiated	principiate @@ed
zomes	zome @@s
genderscape	gender @@scape
cGMPs	cGMP @@s
speeching	speech @@ing
chiropterans	chiropteran @@s
biexponentials	bi @@exponent @@ial @@s
voided	void @@ed
lipoxygenates	lipoxygen @@ate @@s
ectophosphatase	ecto @@phosphate @@ase
