enthrallments	enthrallment @@s
chaetotaxy	chaeto @@taxy
humations	humation @@s
antibloating	anti @@bloat @@ing
Aceso	Aceso
nonzonal	non @@zone @@al
controulling	controul @@ing
subcapsules	sub @@capsule @@s
resynchronization	re @@synchrony @@ize @@ation
QMs	QM @@s
Phitsanulok	Phitsanulok
kampung	kampung
supercocks	super @@cock @@s
hepatospheres	hepato @@sphere @@s
unconstricted	un @@constrict @@ed
thioglycolic acid	thio @@glycolic acid
hoarheads	hoar @@head @@s
feedwater	feed @@water
monooxygenases	mono @@oxygen @@ase @@s
partographs	partograph @@s
obscurity	obscure @@ity
accessorily	access @@ory @@ly
mesioincisal	mesio @@incise @@al
resinifiable	resin @@ify @@able
defeasibilities	defeasible @@ity @@s
largition	largition
Napster	Napster
Pape	Pape
lovergirl	lover @@girl
plantaricin	plantaricin
plasticize	plastic @@ize
misyokes	mis @@yoke @@s
chokeholds	choke @@hold @@s
CRMs	CRM @@s
vaticinations	vaticination @@s
oophoromas	oophoroma @@s
chromatofocusing	chromato @@focus @@ing
Skinner	Skinner
Podeschwa	Podeschwa
thumb-toe	thumb @@toe
kipuka	kipuka
methylators	methyl @@ate @@or @@s
assessingly	assess @@ing @@ly
infaller	in @@fall @@er
intraspecifically	intra @@specify @@ic @@ally
cyclotetrasiloxane	cyclo @@tetra @@siloxane
unmention	un @@mention
Americomania	Americo @@mania
whatsapping	whatsap @@ing
scrnas	scrna @@s
yawner	yawn @@er
subtransect	sub @@transect
copings	cope @@ing @@s
metatask	meta @@task
Anglo-Catholicism	Anglo @@Catholic @@ism
undemocratisation	un @@democrat @@isation
administratively	administrate @@ive @@ly
misattached	mis @@attach @@ed
neurectomizes	neuro @@ectomy @@ize @@s
arapaimas	arapaima @@s
sufficientarian	sufficient @@arian
chickenburgers	cock @@en @@burger @@s
dicarbide	di @@carbide
fairs	fair @@s
slangless	slang @@less
allergenicities	allergenic @@ity @@s
foxed	fox @@ed
robustizing	robust @@ize @@ing
uratosis	urato @@osis
remould	re @@mould
unwielded	un @@wield @@ed
interorbitally	inter @@orbit @@al @@ly
Shema	Shema
anilites	anilite @@s
relexifies	re @@lexify @@s
photoelectroactivity	photo @@electro @@act @@ive @@ity
burblers	burble @@er @@s
plagioleucitite	plagioleucitite
Kolasa	Kolasa
prewashes	pre @@wash @@s
tetrapolarity	tetra @@pole @@ar @@ity
disentrancement	dis @@en @@trance @@ment
tendring	tendre @@ing
greyscale	grey @@scale
budgeting	budget @@ing
enshadowing	en @@shadow @@ing
polyclinics	poly @@clinic @@s
sluits	sluit @@s
telebrokers	telebroker @@s
freestyling	free @@style @@ing
ruralizes	rural @@ize @@s
cadews	cadew @@s
overfill	over @@fill
ceroons	ceroon @@s
poshocracy	posho @@cracy
blonded	blond @@ed
forgettably	for @@get @@able @@ly
favism	favism
podginess	podgy @@ness
piercement	pierce @@ment
appellativeness	appellative @@ness
encephalographies	encephalo @@graphy @@s
momotids	momotid @@s
leucoencephalopathy	leuco @@encephalo @@pathy
limericks	limerick @@s
rethinks	re @@think @@s
whelpeth	whelp @@eth
bitcrush	bit @@crush
zeroness	zero @@ness
disguised	disguise @@ed
squirrelcide	squirrelcide
tachyphylactic	tachy @@phylactic
crazyquilted	crazyquilt @@ed
beauties	beauty @@s
rereduce	re @@reduce
phenogroups	phenogroup @@s
achees	achee @@s
laterite	laterite
leinted	leint @@ed
meisters	meister @@s
maladministered	mal @@administer @@ed
hexaquarks	hexa @@quark @@s
caseations	caseate @@ion @@s
savourier	savourier
refluxings	refluxing @@s
enforest	en @@forest
calamondins	calamondin @@s
Yengisar	Yengisar
niggardness	niggard @@ness
culrage	culrage
phonometry	phono @@metry
glazeable	glaze @@able
aripple	aripple
demineralization	de @@mineral @@ization
soiler	soil @@er
jelled	jell @@ed
canephora	canephora
accenting	accent @@ing
kvetching	kvetch @@ing
jiglike	jig @@like
cooperativeness	cooperate @@ive @@ness
Montessorians	Montessor @@ian @@s
Plimmerton	Plimmerton
toxinotypes	toxi @@ino @@type @@s
mistakers	mis @@take @@er @@s
tegaserod	tegase @@rod
wordsize	word @@size
kilt	kill @@t
cephalization	cephal @@ization
unordinariness	un @@ordinary @@ness
Liquan	Liquan
uplist	up @@list
parthenogeneses	partheno @@genesis @@s
clinkings	clinking @@s
cribbage-faced	cribbage @@face @@ed
infuses	infuse @@s
mumblage	mumblage
clenchings	clench @@ing @@s
nutritarianism	nutrity @@arian @@ism
Tomasetti	Tomasetti
amanitines	amanitine @@s
volcanogenically	volcano @@genic @@ally
triples	triple @@s
abundant	abundant
SYs	SY @@s
arthropodans	arthropodan @@s
lecturelike	lecture @@like
Thelemic	Thelem @@ic
YELLIS	YELLIS
biotoxin	bio @@toxi @@in
counterlives	counter @@live @@s
Italkian	Italk @@ian
harmest	harm @@est
Miocene	Miocene
incontestable	in @@contest @@able
DSLAMs	DSLAM @@s
reprovable	re @@prove @@able
pawl	pawl
octanoyls	octo @@ane @@yl @@s
microsparks	micro @@spark @@s
monogon	mono @@gon
neurations	neuro @@ation @@s
neals	neal @@s
Krupa	Krupa
amphipodan	amphipodan
recapturing	re @@capture @@ing
unco-operative	un @@co @@opera @@ate @@ive
Snoj	Snoj
nonmultiplication	non @@multiplicate @@ion
diversions	diverse @@ion @@s
enambushes	en @@ambush @@s
unflirty	un @@flirt @@y
grammaticising	grammaticise @@ing
fatwahs	fatwah @@s
vituperable	vituperable
pseudoremainder	pseudo @@remain @@er
duotherapies	duo @@therapy @@s
CTCing	CTC @@ing
thicknets	thick @@net @@s
cockfight	cock @@fight
interdevice	inter @@device
microreproduction	micro @@re @@produce @@ion
ornithoscopy	ornitho @@scopy
caterership	cater @@er @@ship
Malikites	Malik @@ite @@s
coot	coot
bedwell	be @@dwell
hexadienes	hexa @@di @@ene @@s
enrober	en @@rober
dichloroacetates	dichloroacetate @@s
mokusatsu	mokusatsu
I-ness	I @@ness
remaindering	remain @@er @@ing
comanaging	co @@manage @@ing
bentshing	bentsh @@ing
Tortolans	Tortolan @@s
coco	coco
X11	X11
salinized	saline @@ize @@ed
walljumps	walljump @@s
oxybarbiturates	oxy @@barbiturate @@s
grayordinates	grayordinate @@s
amplifiers	ample @@ify @@er @@s
fogou	fogou
hyperinnervates	hyper @@in @@nerve @@ate @@s
eustressed	eu @@stress @@ed
nonvillager	non @@village @@er
nontextual	non @@text @@ual
tetrachordal	tetra @@chord @@al
unstintingly	unstint @@ing @@ly
bipentacenes	bi @@pentacene @@s
disimpropriating	dis @@impropriate @@ing
swimmer	swim @@er
greatcoated	great @@coat @@ed
depeopled	de @@people @@ed
juarrees	juarree @@s
uncolourable	un @@colour @@able
belapped	be @@lap @@ed
unchance	un @@chance
Pontefract	Pontefract
cointreaus	co @@intreau @@s
adenoidal	adenoid @@al
halogenating	halogen @@ate @@ing
revoting	re @@vote @@ing
myelinization	myelo @@in @@ization
cheekily	cheek @@y @@ly
bestness	be @@st @@ness
repacketize	re @@packet @@ize
uncentralized	un @@centralize @@ed
suffocation	suffocation
abbotess	abbot @@ess
Kamehameha	Kamehameha
redingote	redingote
azeotropic	a @@zeotropy @@ic
defensomes	defen @@some @@s
NNI	NNI
arrises	arrise @@s
muthafuckahs	muthafuckah @@s
toponym	toponym
Knarr	Knarr
compost	compost
obfirmed	obfirm @@ed
phytonematodes	phytonematode @@s
measurers	measure @@er @@s
greeneyes	green @@eye @@s
plumber	plumb @@er
overcooked	over @@cook @@ed
steakless	steak @@less
tidifes	tidife @@s
subclinically	sub @@clinic @@ally
nightclublike	nightclub @@like
compellings	compelling @@s
behaviorist	be @@have @@ior @@ist
crystallin	crystal @@in
dialogical	dialogy @@ical
rajadhiraja	rajadhiraja
distributed	distribute @@ed
nonadministrator	non @@administrate @@or
carboniser	carbon @@ise @@er
zoötomists	zoötomist @@s
underpacking	under @@pack @@ing
anthromorphic	anthro @@morphic
forbuyer	for @@buy @@er
shifta	shifta
exosystemic	exo @@system @@ic
smaking	smake @@ing
corneosclera	corneo @@sclera
dsungaripterids	dsungaripterid @@s
shuts	shut @@s
K'ung-tzu	K'ung @@tzu
fustigator	fustigate @@or
familylessness	family @@less @@ness
endolour	endolour
pendeloques	pendeloque @@s
feebles	feeble @@s
sialogogues	sialogogue @@s
redisseizors	re @@dis @@seize @@or @@s
Wubu	Wubu
hectagon	hecta @@gon
coimplant	co @@implant
huggier	hug @@y @@er
disesteem	dis @@esteem
balistiform	balista @@iform
dhyanas	dhyana @@s
cyberchats	cyber @@chat @@s
pivoted	pivot @@ed
Frankensteinian	Frankenstein @@ian
hippophage	hippo @@phage
facemailing	face @@mail @@ing
rhombencephalon	rhombencephalon
septapeptides	septa @@peptide @@s
depairing	de @@pair @@ing
diubiquitylated	di @@ubiquitylate @@ed
hyperresponding	hyper @@respond @@ing
compursions	compursion @@s
thermowelding	thermoweld @@ing
misreded	mis @@rede @@ed
prevue	prevue
ferrovanadiums	ferro @@vanadium @@s
discomedusans	discomedusan @@s
turbaning	turban @@ing
alleygating	alleygate @@ing
pasteurellosis	pasteurellosis
unsupporting	un @@support @@ing
zoocentric	zoo @@centre @@ic
quayful	quay @@ful
paramedicine	para @@medical @@ine
counteraggression	counter @@aggress @@ion
carcharhiniforms	carcharhiniform @@s
archflamen	arch @@flamen
grittinesses	grit @@y @@ness @@s
sown	sow @@n
Fuchsia	Fuchsia
predrilled	pre @@drill @@ed
fixedly	fix @@ed @@ly
polycystic	poly @@cyst @@ic
disgustful	disgust @@ful
fiddlenecks	fiddle @@neck @@s
subgrantee	sub @@grant @@ee
Whitehawk	Whitehawk
nonamenable	non @@amenable
disjoiners	dis @@join @@er @@s
Cartist	Cart @@ist
unrighteously	un @@righteous @@ly
lightship	light @@ship
proctopathies	procto @@pathy @@s
polymorphy	poly @@morphy
codissolved	co @@dissolve @@ed
radiophotograph	radio @@photo @@graph
playreader	play @@read @@er
toothsomeness	tooth @@some @@ness
leps	lep @@s
soulboy	soul @@boy
unhefty	un @@heft @@y
ked	ked
nonaccessory	non @@access @@ory
gasserectomies	gas @@serectomy @@s
hatguards	hat @@guard @@s
waiata	waiata
turgidity	turgid @@ity
groundway	ground @@way
familiarises	familiarise @@s
pyrazolines	pyrazoline @@s
offense	offense
blobbed	blob @@ed
trapper	trap @@er
unskippable	un @@skip @@able
mechanotransductional	mechano @@transduce @@ion @@al
soliloquizings	soliloquizing @@s
hyperradial	hyper @@radius @@al
yachtman	yacht @@man
uneroded	un @@erode @@ed
Bloomfieldian	Bloomfield @@ian
concaver	concave @@er
beaverish	beaver @@ish
jebena	jebena
linemakers	linemaker @@s
unvisible	un @@visible
solubilates	solubilate @@s
puzzlehead	pose @@le @@head
bilirubinurias	bilirubin @@uria @@s
anecdotical	anecdote @@ical
Hellenophilia	Helleno @@philia
oligolecty	oligo @@lecty
couplements	couplement @@s
honings	honing @@s
antisets	anti @@set @@s
Caliphesses	Caliph @@ess @@s
heterodyning	hetero @@dyne @@ing
sulphurated	sulphur @@ate @@ed
photoconvertible	photo @@convert @@ible
multirisk	multi @@risk
nanoinjectors	nano @@inject @@or @@s
graphed	graph @@ed
Silhillian	Silhill @@ian
WCAs	WCA @@s
interequinoctial	inter @@equinoctial
Leaper	Leaper
WPCs	WPC @@s
chiropracted	chiropract @@ed
fibrobronchoscopies	fibro @@broncho @@scopy @@s
retreatlike	re @@treat @@like
ubuthi	ubuthi
obligator	oblige @@ate @@or
louries	lourie @@s
deprioritisation	de @@prioritisation
electrotechnology	electro @@techno @@logy
buccomesial	bucco @@mesial
cardexes	cardex @@s
reinvestor	re @@invest @@or
skengs	skeng @@s
ergophobe	ergo @@phobe
wrapovers	wrapover @@s
microannotation	micro @@annotate @@ion
xenoglossy	xeno @@gloss @@y
bondlengths	bondlength @@s
yachtiest	yacht @@y @@est
malvasia	malvasia
essexite	Essex @@ite
cryodamaging	cryo @@damage @@ing
actinobacillosis	actinobacillosis
VMDs	VMD @@s
organocatalysis	organo @@catalysis
devove	devove
hoer	hoe @@er
enstraighten	en @@straight @@en
gadwall	gadwall
tearabouts	tear @@about @@s
buraos	burao @@s
assuraunces	assuraunce @@s
kepstrum	kepstrum
editrices	editrix @@s
immunodepression	immuno @@de @@press @@ion
flickable	flick @@able
sheepfuckers	sheep @@fuck @@er @@s
cytopharmacology	cyto @@pharmaco @@logy
dry-foot	dry @@foot
betrotheds	be @@true @@thed @@s
secretors	secrete @@or @@s
kickban	kick @@ban
phosphoroscope	phosphoro @@scope
overselfish	over @@self @@ish
papabottes	papabotte @@s
jungermannias	jungermannia @@s
killfilter	kill @@filter
thermoreflective	thermo @@reflect @@ive
myotome	myo @@tome
superculture	super @@culture
chubbily	chub @@y @@ly
mistbows	mistbow @@s
disadvise	dis @@advise
prestabilized	pre @@stable @@ize @@ed
tontoniids	tontoniid @@s
gnamma	gnamma
crystallizes	crystal @@ize @@s
Kingian	King @@ian
embryogenies	embryo @@geny @@s
bromoacyl	bromo @@acyl
ophites	ophite @@s
fighteresses	fight @@er @@ess @@s
craythur	cray @@thur
Migala	Migala
phyleticists	phyletic @@ist @@s
mallomars	mallomar @@s
caboclos	caboclo @@s
remopped	re @@mop @@ed
unconfided	un @@confid @@ed
utopianistic	utopia @@an @@istic
operationalization	opera @@ate @@ion @@al @@ization
nonpiliated	non @@piliate @@ed
xenoarchaeology	xeno @@archaeo @@logy
transferosomes	transferosome @@s
weekfuls	week @@ful @@s
Alcuin	Alcuin
Antigallicanism	Antigallican @@ism
tealnesses	teal @@ness @@s
shozoku	shozoku
acclimated	ac @@climate @@ed
tungstenian	tungsten @@ian
respectability	respect @@ability
NPIs	NPI @@s
overprotectively	over @@protect @@ive @@ly
radiclib	radiclib
protospecies	proto @@species
wanglas	wangla @@s
nonfiction	non @@fiction
actinopts	actinopt @@s
reschooled	re @@school @@ed
hákarl	hákarl
blin	blin
nonrevolving	non @@revolve @@ing
flyping	flype @@ing
oarage	oarage
pritchelling	pritchel @@ing
MCRI	MCRI
topshurs	topshur @@s
synergistic	synergy @@ist @@ic
riboproteins	ribo @@protein @@s
greenishly	green @@ish @@ly
denuclearizing	de @@nucleus @@ar @@ize @@ing
kosovorotkas	kosovorotka @@s
amphileptids	amphileptid @@s
wallcoverings	wall @@cover @@ing @@s
sideroxylonals	sideroxylonal @@s
intercomplementary	inter @@complement @@ary
affaires	affaire @@s
phosphomonoester	phospho @@mono @@ester
yoctoseconds	yocto @@second @@s
coastline	coast @@line
unmassed	un @@mass @@ed
spammed	spam @@ed
legendization	legend @@ization
reanalyze	re @@analyze
Weinstein	Weinstein
Aesculapian	Aesculapia @@an
provisionment	provision @@ment
tortrix	tortrix
decidence	decident @@ence
stratifies	stratum @@ify @@s
nitrostyrene	nitro @@styr @@ene
bypaths	by @@path @@s
lepidopterology	lepidopterology
polygynists	polygynist @@s
ejaculations	ejaculation @@s
vasointestinal	vaso @@intestine @@al
resplice	re @@splice
lipiduria	lipid @@uria
skeletochronological	skeletochronology @@ical
microassays	micro @@assay @@s
recirculatory	re @@circulate @@or @@y
glutaurine	glutaurine
sinnerite	sin @@er @@ite
cosmopolitanised	cosmopolitanise @@ed
egresses	egress @@s
poststudio	post @@studio
quantification	quantity @@fy @@ification
photoincorporations	photo @@in @@corporate @@ion @@s
frontiered	frontier @@ed
ugari	ugari
Europhile	Euro @@phile
bioinduced	bio @@induce @@ed
pseudothrombophlebitis	pseudo @@thromb @@le @@phebitis
microstructured	micro @@structure @@ed
anticoronavirus	anti @@coronavirus
superlunary	super @@lunary
Huddle	Huddle
Zabinski	Zabinski
downdraughts	down @@draw @@t @@s
babywearing	babe @@y @@wear @@ing
nonmountainous	non @@mountain @@ous
shumai	shumai
reassignments	re @@assign @@ment @@s
alveolized	alveolize @@ed
ampliations	ampliation @@s
luffed	luff @@ed
shogs	shog @@s
syndicate	syndicate
chambered	chamber @@ed
creepoids	creep @@oid @@s
ferroxidase	ferroxide @@ase
denominative	de @@nominate @@ive
hypersporulators	hyper @@sporulate @@or @@s
dialgebra	dialgebra
bennettitaleans	bennettitalean @@s
antiatherosclerotic	anti @@athero @@sclerosis @@ic
sabalos	sabalo @@s
deregularized	de @@regular @@ize @@ed
voltampere	voltampere
bioirrigation	bio @@irrigate @@ion
queener	queen @@er
neurolysins	neuro @@lysin @@s
Brumby	Brumby
eunuch	eunuch
velcroed	velcro @@ed
Iberic	Iber @@ic
otacousticons	otacousticon @@s
intertwinement	inter @@twine @@ment
dermatotoxin	dermato @@toxi @@in
negativizes	negative @@ize @@s
cumberbund	cumber @@bund
nonnegative	non @@negative
finesser	finesser
drawknives	drawknife @@s
hover	hove @@er
aerotrains	aerotrain @@s
paraconductivities	para @@conduct @@ive @@ity @@s
scallopers	scallop @@er @@s
neuromics	neuro @@omics
benefactive	benefactive
wildishness	wild @@ish @@ness
heptadecagons	heptadeca @@gon @@s
grasshawk	grass @@hawk
becreeps	be @@creep @@s
driftweed	drift @@weed
valkyries	valkyry @@s
Marien	Marien
dunkleosteids	dunkleosteid @@s
heptads	heptad @@s
dickbags	dick @@bag @@s
metricates	metre @@ic @@ate @@s
Nestor	Nestor
motherplants	motherplant @@s
slutwhores	slut @@whore @@s
accloyed	accloy @@ed
ditolyls	di @@tolyl @@s
carletonite	carletonite
deperish	deper @@ish
gigajoules	giga @@joule @@s
unpartnered	un @@partner @@ed
pitter-patter	pit @@er @@patter
pantile	pan @@tile
punkiness	punk @@y @@ness
anchorable	anchor @@able
blotteth	blot @@eth
discontiguously	dis @@contiguous @@ly
pataphysicians	pataphysician @@s
alkenylation	alkene @@yl @@ation
antizoo	anti @@zoo
zoonic	zoone @@ic
petrolist	petrol @@ist
encephalized	encephal @@ize @@ed
tetramorphic	tetra @@morphic
subvector	sub @@vector
mistutors	mis @@tutor @@s
malacofauna	malaco @@fauna
antidrink	anti @@drink
grizzlings	grizzling @@s
polyanhydrides	poly @@an @@hydride @@s
reablations	re @@ablate @@ion @@s
ulnocondylar	ulno @@condyle @@ar
behoneyed	be @@hon @@y @@ed
vulnary	vulnary
tabus	tabu @@s
aurophobia	auro @@phobia
sofas	sofa @@s
playboating	play @@boat @@ing
institutionalizer	institute @@ion @@al @@ize @@er
radial	radius @@al
tighteneth	tight @@en @@eth
fuckmobile	fuck @@mobile
tetrasomics	tetra @@some @@ics
invisibility	in @@visible @@ity
uncoercive	un @@coerce @@ive
soirées	soirée @@s
semisweetly	semi @@sweet @@ly
dissettlement	dis @@settle @@ment
melanoma	melano @@oma
backtiming	back @@time @@ing
crazing	craze @@ing
jinshajiangite	jinshajiangite
techpreneurs	techpreneur @@s
proabortionist	pro @@abort @@ion @@ist
Reuben	Reuben
pnictogens	pnictogen @@s
neuroteratological	neuro @@terato @@logy @@ical
champertous	champert @@ous
miniblind	mini @@blind
blunger	blunge @@er
crippler	creep @@le @@er
Thatcherism	Thatcher @@ism
myophages	myo @@phage @@s
aliunde	aliunde
griddings	grid @@ing @@s
pelagiphage	pelagiphage
precipitantly	precipitant @@ly
Reaganomics	Reaganomic @@s
misrenders	mis @@render @@s
nosomania	nosomania
conoscopy	cono @@scopy
vtable	vtable
Mehitabel	Mehitabel
plebeianised	plebeianise @@ed
Osmon	Osmon
nanolevels	nano @@level @@s
unionisers	unioniser @@s
freshling	fresh @@ling
underlicensed	under @@license @@ed
Malayo-Polynesian	Malayo @@Polynesia @@an
isothiazolones	iso @@thiazolone @@s
walkman	walk @@man
coldly	cold @@ly
cephalographs	cephalo @@graph @@s
interlocked	inter @@lock @@ed
leadfields	leadfield @@s
crosshybridization	cross @@hybrid @@ization
cloacitis	cloacio @@itis
photochemistry	photo @@chemist @@ry
airbrushers	air @@brush @@er @@s
Waldensians	Waldens @@ian @@s
babyfather	babe @@y @@father
pseudowhorl	pseudo @@whorl
pinealectomy	pine @@al @@ectomy
videotraps	video @@trap @@s
mackerel	mackerel
pseudoaxis	pseudo @@axis
nonstretchable	non @@stretch @@able
unabsolved	un @@absolve @@ed
tempera	tempera
randomistas	randomista @@s
buttying	buttie @@ing
hakim	hakim
cutset	cut @@set
semivolatile	semi @@volatile
ziprasidone	ziprasidone
unclassifiably	un @@classify @@able @@ly
switchports	switch @@port @@s
octomerized	octomer @@ize @@ed
hamartia	hamartia
armozeen	armozeen
annamox	annamox
ravingly	rave @@ing @@ly
crabber	crab @@er
hearty	heart @@y
knock-knock	knock @@knock
heartthrob	heart @@throb
bliving	blive @@ing
homonazis	homo @@nazi @@s
overplotted	over @@plot @@ed
msakhurtukhutsesi	msakhurtukhutse @@s
honus	honus
shaikhs	shaikh @@s
decahydrate	deca @@hydrate
Bardesanist	Bardesan @@ist
hackishly	hack @@ish @@ly
agamosperms	agamosperm @@s
falconry	falcon @@ry
blarings	blare @@ing @@s
hydrology	hydro @@logy
hazinesses	haze @@y @@ness @@s
unsaint	un @@saint
cutinize	cutis @@in @@ize
